1,1541.19984
2,1541.20323
3,1541.20483
4,1541.19764
5,1541.20008
6,1541.19947
7,1541.19742
8,1541.19148
9,1541.18829
10,1541.18427
11,1541.18526
12,1541.18528
13,1541.19219
14,1541.18662
15,1541.19282
16,1541.18679
17,1541.18137
18,1541.18012
19,1541.18051
20,1541.18075
21,1541.17343
22,1541.18245
23,1541.1731
24,1541.17822
25,1541.17996
26,1541.11653
27,1541.17976
28,1541.17593
29,1541.16763
30,1541.17276
31,1541.17094
32,1541.17331
33,1541.17255
34,1541.16669
35,1541.16422
36,1541.16692
37,1541.17629
38,1541.16268
